PRODUCTNAME;DESCRIPTION;IMGURL;PRICE;CODE;SLEVA;KATEGORIE;PARAMETRY;AKCE;DOPORUCUJEME;DAREK;MATERIAL;DOSTUPNOST;STANDARD_PRICE;ROZMERY;BARVY
Bambusová miska přírodní set 2 kusy;Ratan, proutí -set 2 kusů misek z přírodního bambusu o velikostech: průměr 36 a 34 cm;/nabytek_doplnky/nahledy/449.jpg;128;5176+5175;Sleva 50%;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusová miska set 3 kusy;Misky jsou vyrobeny z přírodního bambusu.;/nabytek_doplnky/nahledy/3328.jpg;147;115528;;Proutí a košíky;Velikost misek je: průměr 25 cm, výška 12 cm průměr 22 cm, výška 10 cm průměr 19 cm, výška 9 cm;0;0;0;;2 až 3 týdny;0;;
Bambusová miska šestihran;Ratan, proutí -miska z přírodního bambusu, velikost: 22x22x6 cm;/nabytek_doplnky/nahledy/445.jpg;25;5449;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusová miska šestihranná;Ratan, proutí -miska z přírodního bambusu, velikost: 26x22x5 cm;/nabytek_doplnky/nahledy/573.jpg;39;5497;;Proutí a košíky;;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová miska zelená;Atypická miska vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/254.jpg;249;10004;;Bambusové misky a vázy;Materiál - přírodní bambus rozměr 30x24 cm Výrobek je určen k dekorativním účelům.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusová podlaha;Bambusová podlaha - cena za 1 m2, pokládka podobně jako parkety, neváhejte nás kontaktovat, rádi zašleme podrobnější informace.;/nabytek_doplnky/nahledy/140.jpg, /nabytek_doplnky/nahledy/2_140.jpg;1190;90;Sleva 33%;Bambusová podlaha;velikost parkety 91,6 x 9 cm, tloušťka 15 mm, masivní bambus Popis : Bambus, jakožto materiál, je jedním z nejtvrdších materiálů s průměrnou hodnotou tvrdostí ( tvrdost stavebního materiálu ) 32 HB (cca 1,7 x tvrdší než dub). To zaručuje dlouhou trvanlivost podlahy, vyrobené z takto tvrdého a kvalitního materiálu. Desky podlahy jsou lakovány lakem na bázi vodou ředitelných disperzí, vhodných pro použití ve vnitřních prostorech. Montáž: Desky bambusové podlahy nechte cca 14 dní před montáží v prostoru, kde se bude pokládat ( vyrovnání teploty ). Samotné desky se lepí na dokonale rovný a tvrdý podklad. Pokud podklad není rovný, je třeba vyrovnat 3 mm stěrkou Ultraplan od f. Mapei. Desky se lepí jednosložkovým polyuretanovým lepidlem Ultrabond P991K od f. Mapei ( jediné lepidlo použitelné k lepení exotického dřeva) k podlaze. Jednotlivé desky se vzájemně nelepí, pouze se stahují do zaschnutí spodního lepidla. Použití: Bambusová podlaha je vhodná k použití do vnitřních prostor s různým typem užití. Je vhodná pro obývací pokoje, kuchyně, koupelny i zimní zahrady.;1;0;0;;2 až 3 týdny;0;;
Bambusová rohož plotová - štípaná 130x500 cm;Bambusová rohož plotová, výška 130 cm, délka 5 metrů, materiál štípaný bambus na proužky široké přibližně 10 mm;/nabytek_doplnky/nahledy/944.jpg;419;5628;Sleva 10%;Bambusové rohože a ploty;;1;1;1;;2 až 3 týdny;0;;
Bambusová rohož plotová 130x480 cm;Bambusová rohož plotová, celý bambus - neštípaný,  délka 480 cm, výška 130cm;/nabytek_doplnky/nahledy/139.jpg;699;5259;;Bambusové rohože a ploty;;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová slánka a pepřenka;Dřevěné slánky Vám zkrášlí domov a jsou praktické při stolování doma i na zahradě. Jsou vhodné i jako dárek.;/nabytek_doplnky/nahledy/2341.jpg;299;90090;;Bambus v kuchyni;Výška 13,5 cm, průměr 4,5 cm Materiál přírodní bambus + kov;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová stolička;Bambusová  stolička je použitelná nejen pod květinu, ale můžete ji použít i jako taburetku či odkládací stolek například k lehátku.;/nabytek_doplnky/nahledy/2985.jpg;499;5056;;Květinové stojánky a květníky ;Stolička je vyrobena z přírodního bambusu rozměr stoličky je 30x30x23 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová stolička set 2 ks;Set obsahuje 2 stoličky použitelné nejen pod květinu, ale můžete je použít i jako taburetky.;/nabytek_doplnky/nahledy/218.jpg, /nabytek_doplnky/nahledy/2_218.jpg, /nabytek_doplnky/nahledy/3_218.jpg;990;5055+5056;;Květinové stojánky a květníky ;Stoličky jsou vyrobeny z přírodního bambusu rozměr stoliček je 38x38 cm a 30x30 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová stolička velká;Bambusová  stolička je použitelná nejen pod květinu, ale můžete ji použít i jako taburetku či odkládací stolek například k lehátku.;/nabytek_doplnky/nahledy/3317.jpg;599;5055;;Květinové stojánky a květníky ;Stolička je vyrobena z přírodního bambusu rozměr stoličky je 40x40x28 cm;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč průměr 8-10 cm, délka 2 metry;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované.;/nabytek_doplnky/nahledy/2136.jpg;199;111064;;Bambusové tyče;Průměr tyče je cca 8-10  cm, délka 2 metry. Cena je uvedena za celou tyč délky 2 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč průměr 8-10 cm, délka 4 metry;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované.;/nabytek_doplnky/nahledy/136.jpg;349;63;;Bambusové tyče;Průměr tyče je cca 8-10  cm, délka 4m. Průměr je měřen 1 metr od silnějšího konce. Cena je uvedena za celou tyč délky 4 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč 1,5 - 2 cm, délka 3 m;Bambusová tyč o průměru 1,5 - 2 cm, délka 3 metry. Cena je uvedena za celou tyč délky 3 metry.;/nabytek_doplnky/nahledy/941.jpg;89;60;;Bambusové tyče;;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč 3-4 cm, délka 2 metry;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované. ;/nabytek_doplnky/nahledy/134.jpg;59;61;;Bambusové tyče;průměr tyče je 3-4 cm, délka 2 m cena je uvedena za celou tyč délky 2 metry;0;1;0;Bambus;2 až 3 týdny;0;;
Bambusová tyč 3-4 cm, délka 2 metry, bambus black;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní barvě;/nabytek_doplnky/nahledy/3252.jpg;119;51;;Bambusové tyče;průměr tyče je 3-4 cm, délka 2 m Bambusové tyče skladujeme v suché kryté skladovací hale. cena je uvedena za celou tyč délky 2 metry;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusová tyč 3-4 cm, délka 4 metry, bambus black ;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní barvě;/nabytek_doplnky/nahledy/3254.jpg;195;52;;Bambusové tyče;průměr tyče je 3-4 cm, délka 4 m Bambusové tyče skladujeme v suché kryté skladovací hale. cena je uvedena za celou tyč délky 4 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč 4-5 cm, délka 2 metry;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované. ;/nabytek_doplnky/nahledy/3221.jpg;99;84;;Bambusové tyče;Délka tyče 2 metry. Průměr tyče 4-5 cm. Průměr tyče je měřen 50 cm od silnějšího konce. Tyč nemá žádné poškození od mačety při sklizni ani poškození od přepravy. Tyče skladujeme v suché zastřešené hale. Cena je uvedena za celou bambusovou tyč délky 2 metry.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusová tyč 4-4,5 cm, délka 2 metry, bambus black ;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní barvě;/nabytek_doplnky/nahledy/3253.jpg;195;54;;Bambusové tyče;průměr tyče je 4-4,5 cm, délka 2 m Bambusové tyče skladujeme v suché kryté skladovací hale. cena je uvedena za celou tyč délky 2 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč 5-6 cm, délka 1 metr;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované.;/nabytek_doplnky/nahledy/2133.jpg;99;x67;;Bambusové tyče;Průměr tyče je 5-7 cm, délka 1 metr Cena je uvedena za celou tyč délky 1 metr.;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč 5-6 cm, délka 2 metry;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované.;/nabytek_doplnky/nahledy/2134.jpg;179;80;;Bambusové tyče;Průměr tyče je 5-6 cm, délka 2 metry Cena je uvedena za celou tyč délky 2 metry.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusová tyč 5-6 cm, délka 2 metry, bambus black ;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní barvě;/nabytek_doplnky/nahledy/3255.jpg;229;56;;Bambusové tyče;průměr tyče je 5-6 cm, délka 2 m Bambusové tyče skladujeme v suché kryté skladovací hale. cena je uvedena za celou tyč délky 2 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč 5-6 cm, délka 4 metry;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované. ;/nabytek_doplnky/nahledy/135.jpg, /nabytek_doplnky/nahledy/2_135.jpg;299;67;;Bambusové tyče;Délka tyče 4 metry. Průměr tyče 5-6 cm. Průměr tyče je měřen 1 metr od silnějšího konce. Tyč nemá žádné poškození od mačety při sklizni ani poškození od přepravy. Tyče skladujeme v suché zastřešené hale. Cena je uvedena za celou bambusovou tyč délky 4 metry.;0;0;0;Bambus;2 až 3 týdny;0;;
Bambusová tyč 5-6 cm, délka 4 metry, bambus black ;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní barvě;/nabytek_doplnky/nahledy/3256.jpg;395;57;;Bambusové tyče;průměr tyče je 5-6 cm, délka 4 m Bambusové tyče skladujeme v suché kryté skladovací hale. cena je uvedena za celou tyč délky 4 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč průměr 3-4 cm, délka 1 metr;Bambusová tyč - přírodní bambusová tyč sušená na slunci přibližně 3 měsíce. Tyče dodáváme v přírodní nažloutlé barvě, nelakované.;/nabytek_doplnky/nahledy/2132.jpg;35;x61;;Bambusové tyče;průměr tyče je 3-4 cm, délka 1 m cena je uvedena za celou tyč délky 1 metry;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč průměr 3-4 cm, délka 4 m;Bambusová tyč vysoké kvality. Bambusová tyč je sušena na slunci a má přírodní žlutou barvu.;/nabytek_doplnky/nahledy/432.jpg;118;82;;Bambusové tyče;Délka tyče 4 metry. Průměr tyče 3-4 cm. Průměr tyče je měřen 1 metr od silnějšího konce. Tyč nemá žádné poškození od mačety při sklizni ani poškození od přepravy. Tyče skladujeme v suché zastřešené hale. Cena je uvedena za celou bambusovou tyč délky 4 metry.;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč průměr 8-10 cm a délka 2 metry;Bambusová tyč vysoké kvality. Bambusová tyč je sušená na slunci a má přírodní žlutou barvu.;/nabytek_doplnky/nahledy/2630.jpg;299;81;;Bambusové tyče;Délka tyče 2 metry. Průměr tyče 8-10 cm. Průměr tyče je měřen 50 cm od silnějšího konce. Tyč nemá žádné poškození od mačety při sklizni ani poškození od přepravy. Tyče skladujeme v suché zastřešené hale. Cena je uvedena za celou bambusovou tyč délky 2 metry.;0;0;0;;2 až 3 týdny;0;;
Bambusová tyč průměr 8-10 cm a délka 4 metry;Bambusová tyč vysoké kvality. Bambusová tyč je sušena na slunci a má přírodní žlutou barvu.;/nabytek_doplnky/nahledy/2631.jpg;499;83;;Bambusové tyče;Délka tyče 4 metry. Průměr tyče 8-10 cm. Průměr tyče je měřen 1 metr od silnějšího konce. Tyč nemá žádné poškození od mačety při sklizni ani poškození od přepravy. Tyče skladujeme v suché zastřešené hale. Cena je uvedena za celou bambusovou tyč délky 4 metry.;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/231.jpg;299;10071;;Bambusové misky a vázy;Materiál - přírodní bambus výška 35 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/232.jpg;399;10070;;Bambusové misky a vázy;Materiál - přírodní bambus výška 45 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/233.jpg;599;10069;;Bambusové misky a vázy;Materiál - přírodní bambus výška 54 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/234.jpg;299;10074;;Bambusové misky a vázy;Materiál - přírodní bambus výška 35 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/235.jpg;399;10073;;Bambusové misky a vázy;Materiál - přírodní bambus výška 45 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/236.jpg;599;10072;;Bambusové misky a vázy;Materiál - přírodní bambus výška 54 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/267.jpg;299;10049;;Bambusové misky a vázy;Materiál - přírodní bambus výška 26 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/270.jpg;395;10093;;Bambusové misky a vázy;Materiál - přírodní bambus průměr 9,5/16, výška 30,5 cm;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu, průměr 8/30, výška 32,5 cm;/nabytek_doplnky/nahledy/272.jpg;489;10096;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu, průměr 8/30, výška 32,5 cm;/nabytek_doplnky/nahledy/273.jpg;495;10095;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu, průměr 12/20, výška 54,5 cm;/nabytek_doplnky/nahledy/274.jpg;579;10097;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu, průměr 12/20, výška 54,5 cm;/nabytek_doplnky/nahledy/275.jpg;595;10098;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu, průměr 8,5/14, výška 42 cm;/nabytek_doplnky/nahledy/276.jpg;469;10068;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza vyrobená z přírodního bambusu,  průměr 8,5/14, výška 42 cm;/nabytek_doplnky/nahledy/277.jpg;469;10067;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza;Váza je vyrobena z přírodního bambusu, přírodní materiál a způsob zpracování dělají z každého kusu originál;/nabytek_doplnky/nahledy/735.jpg;499;10056;;Bambusové misky a vázy;velikost 25x15x40 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza klasik;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/268.jpg;499;10002;;Bambusové misky a vázy;Materiál - přírodní bambus průměr 15, výška 29 cm;0;0;0;;2 až 3 týdny;0;;
Bambusová váza oranž mozaika;Váza vyrobená z přírodního bambusu, rozměr 10x10x30 cm;/nabytek_doplnky/nahledy/278.jpg;349;10092;;Bambusové misky a vázy;;0;0;0;;2 až 3 týdny;0;;
Bambusová váza oranž mozaika;Váza vyrobená z přírodního bambusu, rozměr 12x12x34 cm;/nabytek_doplnky/nahledy/279.jpg;590;10091;;Bambusové misky a vázy;;0;0;0;Ratan;2 až 3 týdny;0;;
Bambusová váza s ratanem OR;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/238.jpg;695;10063;;Bambusové misky a vázy;Materiál dekoru - přírodní ratan Materiál vázy - přírodní bambus průměr 5/30 cm, výška 56 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza válec;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/266.jpg;249;10008;;Bambusové misky a vázy;Materiál - přírodní bambus průměr 12, výška 21 cm;0;0;0;Přírodní bambus;2 až 3 týdny;0;;
Bambusová váza zakřivená;Váza vyrobená z přírodního bambusu. Bambus je štípán na tenké proužky a poté lepen, lisován a broušen do požadovaného tvaru. každý kus se tak stává originálem.;/nabytek_doplnky/nahledy/269.jpg;690;10003;;Bambusové misky a vázy;Materiál - přírodní bambus průměr 18, výška 40 cm;0;0;0;;2 až 3 týdny;0;;
Bambusové košťátko;Ratan, proutí - košťátko s bambusovou holí a rýžovými stonky, délka 60 cm;/nabytek_doplnky/nahledy/336.jpg;69;5098;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusové košťátko 30 cm;Rýžové košťátko o délce 30 cm. Košťátko se hodí na ometání či oprašování různých předmětů, neboť jak je známo, nezpůsobuje vzhledem ke své jemnosti poškrábání. Hodí se také jako podklad pro různé dekorace.;/nabytek_doplnky/nahledy/3518.jpg;39;5099;;Proutí a košíky;;0;0;0;;2 až 3 týdny;0;;
Bambusové lehátko;Bambusový nábytek -polohovací bambusové lehátko vyrobené z přírodního bambusu, barva hnědá dle obrázku;/nabytek_doplnky/nahledy/342.jpg, /nabytek_doplnky/nahledy/4_342.jpg;1778;1035;;Lehátka;rozměr 62x132x90 cm, nosnost 120 kg, 3 polohy sklopení;0;0;0;;2 až 3 týdny;0;;
Bambusové lehátko natural;Bambusový nábytek -polohovací bambusové lehátko vyrobené z přírodního bambusu, barva natutal - přírodní bambus lakovaný bezbarvým lakem;/nabytek_doplnky/nahledy/3321.jpg, /nabytek_doplnky/nahledy/4_3321.jpg;1990;1474;;Lehátka;Rozměr lehátka je 62x132x90 cm, nosnost 120 kg. Opěradlo umožňiuje 3 polohy sklopení.;0;0;0;;2 až 3 týdny;0;;
Bambusové misky set 3 kusy RED;Set 3 kusů oválných mís z přírodního bambusu zdobených přírodním ratanem.;/nabytek_doplnky/nahledy/1186.jpg;985;10078-80;;Bambusové misky a vázy;Materiál mís je přírodní bambus. velikosti 50x24x7,5 cm, 40x20x7 cm a 33x16x5 cm Výrobek je určen k dekorativním účelům.;0;0;0;;2 až 3 týdny;0;;
Bambusové prostírání natural 4 ks;Set 4 ks prostírání z přírodního bambusu;/nabytek_doplnky/nahledy/292.jpg;119;5520;;Tácy, podnosy a prostírání, piknik;;0;0;0;;2 až 3 týdny;0;;
Bambusové prostírání set 4 kusy;Prostírání či podložka vyrobená z přírodního bambusu. Velikost 45x33 cm. Set obsahuje 4 kusy prostírání;/nabytek_doplnky/nahledy/1653.jpg;299;10018 set;;Tácy, podnosy a prostírání, piknik;;0;0;0;;2 až 3 týdny;0;;
Bambusovo ratanový tácek zelený;Tácek vyrobený ručně z přírodního ratanu v kombinaci s přírodním bambusem.;/nabytek_doplnky/nahledy/361.jpg;149;5495G;;Tácy, podnosy a prostírání, piknik;Tác má velice praktické použití, můžete ho použít jako jídelní podtácek pod talíř, tác k servírování ovoce nebo i jako podklad pro suchou vazbu dle Vaší fantazie. Průměr tácu je 32,5 cm Výrobek má velice kvalitní zpracování.;0;0;0;;2 až 3 týdny;0;;
Bambusovo ratanový tácek zelený 3+1 ZDARMA ;AKCE 3+1 ZDARMA - zaplatíte 3 kusy a dostanete 4 kusy stejných ratanových táců. Tácek vyrobený ručně z přírodního ratanu v kombinaci s přírodním bambusem.;/nabytek_doplnky/nahledy/3464.jpg;596;5495G 3+1;Sleva 25%;Tácy, podnosy a prostírání, piknik;Tác má velice praktické použití, můžete ho použít jako jídelní podtácek pod talíř, tác k servírování ovoce nebo i jako podklad pro suchou vazbu dle Vaší fantazie. Průměr tácu je 32,5 cm Výrobek má velice kvalitní zpracování.;0;0;1;;2 až 3 týdny;0;;
Bambusovo ratanový tácek žlutý;Tácek vyrobený ručně z přírodního ratanu v kombinaci s přírodním bambusem.;/nabytek_doplnky/nahledy/362.jpg;149;5495Y;;Tácy, podnosy a prostírání, piknik;Tác má velice praktické použití, můžete ho použít jako jídelní podtácek pod talíř, tác k servírování ovoce nebo i jako podklad pro suchou vazbu dle Vaší fantazie. Průměr tácu je 32,5 cm Výrobek má velice kvalitní zpracování.;0;0;0;;2 až 3 týdny;0;;
Bambusovo ratanový tácek žlutý 3+1 ZDARMA;AKCE 3+1 ZDARMA - zaplatíte 3 kusy a dostanete 4 kusy stejných ratanových táců. Tácek vyrobený ručně z přírodního ratanu v kombinaci s přírodním bambusem.;/nabytek_doplnky/nahledy/3463.jpg;596;5495Y 3+1;Sleva 25%;Tácy, podnosy a prostírání, piknik;Tác má velice praktické použití, můžete ho použít jako jídelní podtácek pod talíř, tác k servírování ovoce nebo i jako podklad pro suchou vazbu dle Vaší fantazie. Průměr tácu je 32,5 cm Výrobek má velice kvalitní zpracování.;1;0;1;;2 až 3 týdny;0;;
Bambusový koš natural velikost L;Praktický bambusový koš poslouží nejen jako koš prádelní a třeba také jako koš na dřevo.;/nabytek_doplnky/nahledy/1237.jpg;249;5435;;Proutí a košíky;průměr koše 45 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový koš velikost L;Praktický bambusový koš poslouží nejen jako koš prádelní a třeba také jako koš na dřevo.;/nabytek_doplnky/nahledy/408.jpg;239;5359;;Proutí a košíky;velikost 50x45x25 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový koš velikost M;Praktický bambusový koš poslouží nejen jako koš prádelní a třeba také jako koš na dřevo.;/nabytek_doplnky/nahledy/407.jpg;179;5360;;Proutí a košíky;velikost 45x40x22 cm;0;0;0;;2 až 3 týdny;0;;
Bambusový koš velikost S;"Praktický bambusový koš poslouží nejen jako koš prádelní a třeba také jako koš na dřevo. Další velikosti koše si vyberete kliknutím na tlačítko \""Další varianty\"" nabo vstupem do detailu výrobku";/nabytek_doplnky/nahledy/406.jpg;129;5361;;Proutí a košíky;velikost 40x35x21 cm;0;0;0;;2 až 3 týdny;0;;
